datetime,value
2024-08-16 16:12:00,0.133
2024-08-16 16:13:00,0.133
2024-08-16 16:14:00,0.133
2024-08-16 16:15:00,0.133
2024-08-16 16:16:00,0.133
2024-08-16 16:17:00,0.133
2024-08-16 16:18:00,0.133
2024-08-16 16:19:00,0.133
2024-08-16 16:20:00,0.133
2024-08-16 16:21:00,0.133
2024-08-16 16:22:00,0.133
2024-08-16 16:23:00,0.133
2024-08-16 16:24:00,0.133
2024-08-16 16:25:00,0.133
2024-08-16 16:26:00,0.133
2024-08-16 16:27:00,0.133
2024-08-16 16:28:00,0.133
2024-08-16 16:29:00,0.133
2024-08-16 16:30:00,0.133
2024-08-16 16:31:00,0.133
2024-08-16 16:32:00,0.133
2024-08-16 16:33:00,0.133
2024-08-16 16:34:00,0.133
2024-08-16 16:35:00,0.133
2024-08-16 16:36:00,0.133
2024-08-16 16:37:00,0.0
2024-08-16 20:17:00,0.0
2024-08-16 20:18:00,3.333
2024-08-16 20:19:00,0.37
2024-08-16 20:20:00,0.37
2024-08-16 20:21:00,0.37
2024-08-16 20:22:00,0.37
2024-08-16 20:23:00,0.37
2024-08-16 20:24:00,0.37
2024-08-16 20:25:00,0.37
2024-08-16 20:26:00,0.37
2024-08-16 20:27:00,0.37
2024-08-16 20:28:00,0.061
2024-08-16 20:29:00,0.061
2024-08-16 20:30:00,0.061
2024-08-16 20:31:00,0.061
2024-08-16 20:32:00,0.061
2024-08-16 20:33:00,0.061
2024-08-16 20:34:00,0.061
2024-08-16 20:35:00,0.061
2024-08-16 20:36:00,0.061
2024-08-16 20:37:00,0.061
2024-08-16 20:38:00,0.061
2024-08-16 20:39:00,0.061
2024-08-16 20:40:00,0.061
2024-08-16 20:41:00,0.061
2024-08-16 20:42:00,0.061
2024-08-16 20:43:00,0.061
2024-08-16 20:44:00,0.061
2024-08-16 20:45:00,0.061
2024-08-16 20:46:00,0.061
2024-08-16 20:47:00,0.061
2024-08-16 20:48:00,0.061
2024-08-16 20:49:00,0.061
2024-08-16 20:50:00,0.061
2024-08-16 20:51:00,0.061
2024-08-16 20:52:00,0.061
2024-08-16 20:53:00,0.061
2024-08-16 20:54:00,0.061
2024-08-16 20:55:00,0.061
2024-08-16 20:56:00,0.061
2024-08-16 20:57:00,0.061
2024-08-16 20:58:00,0.061
2024-08-16 20:59:00,0.061
2024-08-16 21:00:00,0.061
2024-08-16 21:01:00,0.061
2024-08-16 21:02:00,0.061
2024-08-16 21:03:00,0.061
2024-08-16 21:04:00,0.061
2024-08-16 21:05:00,0.061
2024-08-16 21:06:00,0.061
2024-08-16 21:07:00,0.061
2024-08-16 21:08:00,0.061
2024-08-16 21:09:00,0.061
2024-08-16 21:10:00,0.061
2024-08-16 21:11:00,0.061
2024-08-16 21:12:00,0.061
2024-08-16 21:13:00,0.061
2024-08-16 21:14:00,0.061
2024-08-16 21:15:00,0.061
2024-08-16 21:16:00,0.061
